# Pb isotope ratio data to investigate potential source areas
# of antropogenic Pb reaching the Arctic in association with PM10.
# This dataset is used by the function isoplot.pm10 to generate
# three-isotope plots.
# Data sources are indicated in the Ref column:
#
# 1 Bollhofer and Rosman, Isotopic source signatures for atmospheric
#   lead: The Northern Hemisphere. Geochimica et Cosmochimica Acta,
#   2001, 65, 1727-1740.
#
# 2 Carignan, Simonetti and Gariepy, Dispersal of atmospheric lead in
#   northeastern North America as recorded by epiphytic lichens.
#   Atmospheric Environment, 2002, 36, 3759-3766.
#
# 3 Mukai, Machida, Tanaka, Vera and Uematsu, Lead isotope ratios in
#   the urban air of eastern and central Russia. Atmospheric Environment,
#   2001, 35, 2783-2793.
#
# 4 Mukai, Tanaka and Fujii, Regional Characteristics of Sulfur and lead
#   isotope ratios in the atmosphere at several chinese urban sites.
#   Environmental Science and Technology, 2001, 35, 1064-1071.
#
# 5 Zhu, Tang, Lee, Zhang and Zhang, Lead concentrations and isotopes 
#   in aerosols from Xiamen, China. Marine Pollution Bulletin, 2010,
#   60, 1946-1955.
#
sample	Pb206204	Pb207204	Pb208204	Pb206207	Pb207206	Pb208206	ref	area
Y-51	18.2224	NA	NA	1.1653	0.8582	2.1096	5	china
Y-52	18.2393	NA	NA	1.1672	0.8567	2.1069	5	china
Y-53	18.2726	NA	NA	1.1642	0.8589	2.1100	5	china
Y-54	18.2103	NA	NA	1.1653	0.8582	2.1089	5	china
Y-55	18.2297	NA	NA	1.1657	0.8579	2.1095	5	china
Y-56	18.2405	NA	NA	1.1651	0.8583	2.1106	5	china
Y-57	18.2314	NA	NA	1.1681	0.8561	2.1056	5	china
Y-58	18.2932	NA	NA	1.1680	0.8561	2.1056	5	china
Y-59	18.2947	NA	NA	1.1678	0.8563	2.1050	5	china
Y-60	18.2963	NA	NA	1.1692	0.8553	2.1049	5	china
Y-61	18.3171	NA	NA	1.1684	0.8558	2.1045	5	china
Y-62	18.3074	NA	NA	1.1683	0.8560	2.1058	5	china
Y-63	18.3018	NA	NA	1.1685	0.8558	2.1056	5	china
Y-64	18.3015	NA	NA	1.1668	0.8571	2.1085	5	china
Y-66	18.2634	NA	NA	1.1642	0.8590	2.1102	5	china
Y-67	18.2014	NA	NA	1.1657	0.8579	2.1095	5	china
Y-68	18.2417	NA	NA	1.1677	0.8564	2.1061	5	china
Y-69	18.2839	NA	NA	1.1664	0.8573	2.1095	5	china
Y-70	18.2541	NA	NA	1.1654	0.8581	2.1086	5	china
Y-71	18.2355	NA	NA	1.1663	0.8574	2.1090	5	china
Y-72	18.2511	NA	NA	1.1641	0.8591	2.1111	5	china
Y-73	18.2031	NA	NA	1.1665	0.8572	2.1082	5	china
Y-74	18.2531	NA	NA	1.1625	0.8602	2.1138	5	china
Harbin 	NA	NA	NA	NA	0.8530	2.0980	4	china
Harbinw	NA	NA	NA	NA	0.8710	2.1220	4	china
Changchun 	NA	NA	NA	NA	0.8580	2.1130	4	china
Changchunw	NA	NA	NA	NA	0.8730	2.1310	4	china
Dalian 	NA	NA	NA	NA	0.8810	2.1510	4	china
Dalianw	NA	NA	NA	NA	0.8790	2.1460	4	china
Waliguan 	NA	NA	NA	NA	0.8620	2.1140	4	china
Shanghai 	NA	NA	NA	NA	0.8650	2.1180	4	china
Shanghaiw	NA	NA	NA	NA	0.8630	2.1140	4	china
Nanjing 	NA	NA	NA	NA	0.8610	2.1180	4	china
Nanjingw	NA	NA	NA	NA	0.8580	2.1110	4	china
#Guiyang 	NA	NA	NA	NA	0.8440	2.0770	4	china
#Guiyangw	NA	NA	NA	NA	0.8410	2.0730	4	china
Beijingw	NA	NA	NA	NA	0.8630	2.1070	4	china
Beijing1	NA	NA	NA	NA	0.8710	2.1290	4	china
#Seoul	NA	NA	NA	1.1500	0.8696	2.1260	1	china
HongKong	NA	NA	NA	1.1490	0.8703	2.1240	1	china
XinShao	NA	NA	NA	1.1770	0.8496	2.0940	1	china
ChengDu	NA	NA	NA	1.1660	0.8576	2.1070	1	china
Beijing2	NA	NA	NA	1.1410	0.8764	2.1340	1	china
Vladivostok1	17.9800	NA	NA	1.1533	0.8671	2.1100	3	russia
Vladivostok2	17.9500	NA	NA	1.1510	0.8688	2.1200	3	russia
Khabarovsk	17.9300	NA	NA	1.1457	0.8728	2.1190	3	russia
Yakutsk	17.8900	NA	NA	1.1511	0.8687	2.1090	3	russia
Surgut	17.6900	NA	NA	1.1406	0.8767	2.1200	3	russia
Nizhnevartovsk	17.3600	NA	NA	1.1181	0.8944	2.1420	3	russia
Kemerovo	17.0500	NA	NA	1.0984	0.9104	2.1620	3	russia
Moscow1	18.0100	NA	NA	1.1627	0.8601	2.1020	3	russia
Moscow2	17.5600	NA	NA	1.1423	0.8754	2.1130	3	russia
Budapest	17.3000	NA	NA	1.1120	0.8993	2.1470	1	russia
Prague	17.5100	NA	NA	1.1270	0.8873	2.1320	1	russia
Bucharest	18.1000	NA	NA	1.1590	0.8628	2.1040	1	russia
Chisinav	18.0000	NA	NA	1.1530	0.8673	2.1080	1	russia
Vilnius	17.9700	NA	NA	1.1570	0.8643	2.0970	1	russia
Kharkov	18.1400	NA	NA	1.1640	0.8591	2.0980	1	russia
Bakou	17.9600	NA	NA	1.1600	0.8621	2.0960	1	russia
AlmaAlta	17.5200	NA	NA	1.1250	0.8889	2.1360	1	russia
Ulanbaator1	17.4700	NA	NA	1.1280	0.8865	2.1230	1	russia
Ulanbaator2	18.1100	NA	NA	1.1631	0.8598	2.0970	1	russia
StPetersburg	18.0000	NA	NA	1.1559	0.8651	2.1060	1	russia
Moscow3	17.8700	NA	NA	1.1480	0.8711	2.1110	1	russia
Moscow4	18.1250	NA	NA	1.1610	0.8613	2.1020	1	russia
Apatity	17.9100	NA	NA	1.1490	0.8703	2.1130	1	russia
Mainz	17.6300	NA	NA	1.1330	0.8826	2.1230	1	europe
Nurnberg	17.8600	NA	NA	1.1450	0.8734	2.1140	1	europe
Heidelberg1	17.7300	NA	NA	1.1370	0.8795	2.1200	1	europe
Hamburg	17.7800	NA	NA	1.1430	0.8749	2.1140	1	europe
Schwarzheide	17.8000	NA	NA	1.1410	0.8764	2.1210	1	europe
Heidelberg2	17.9800	NA	NA	1.1519	0.8681	2.1060	1	europe
Heidelberg3	18.0100	NA	NA	1.1550	0.8658	2.1060	1	europe
Constance	17.8500	NA	NA	1.1430	0.8749	2.1170	1	europe
Plon	18.0450	NA	NA	1.1559	0.8651	2.1010	1	europe
Innsbruck	18.0300	NA	NA	1.1570	0.8643	2.1020	1	europe
Odense	17.7900	NA	NA	1.1440	0.8741	2.1110	1	europe
Copenhagen	17.7500	NA	NA	1.1390	0.8780	2.1190	1	europe
Rejkjavik	17.3300	NA	NA	1.1230	0.8905	2.1260	1	europe
Groningen	17.6600	NA	NA	1.1330	0.8826	2.1240	1	europe
Emmen	17.7200	NA	NA	1.1370	0.8795	2.1190	1	europe
Montpellier	17.6100	NA	NA	1.1299	0.8850	2.1250	1	europe
Grenoble1	17.8200	NA	NA	1.1419	0.8757	2.1090	1	europe
Grenoble2	17.7800	NA	NA	1.1390	0.8780	2.1130	1	europe
Grenoble3	17.6200	NA	NA	1.1291	0.8857	2.1270	1	europe
Grenoble4	17.3150	NA	NA	1.1100	0.9009	2.1480	1	europe
Paris	17.6300	NA	NA	1.1320	0.8834	2.1240	1	europe
Chateauneuf	17.7400	NA	NA	1.1370	0.8795	2.1200	1	europe
Avignon	17.6250	NA	NA	1.1291	0.8857	2.1220	1	europe
Madrid	17.0300	NA	NA	1.0970	0.9116	2.1620	1	europe
Valencia	17.4500	NA	NA	1.1210	0.8921	2.1360	1	europe
Venice1	17.9800	NA	NA	1.1510	0.8688	2.1090	1	europe
Venice2	18.0400	NA	NA	1.1539	0.8666	2.1010	1	europe
Rome	17.3550	NA	NA	1.1145	0.8973	2.1370	1	europe
Athens	17.7800	NA	NA	1.1400	0.8772	2.1200	1	europe
Ankara	17.5500	NA	NA	1.1230	0.8905	2.1410	1	europe
