"";"sample";"Pb208207";"Pb208207.U";"Pb206207";"Pb206207.U";"Pb208206";"Pb208206.U";"Pb207206";"Pb207206.U";"year"
"33";"GB13-10";2,43857287125491;0,00665244153395898;1,15902607369455;0,00198055254540481;2,10451951587773;0,00375586336372183;0,862788515457035;0,00150063144239955;"2010"
"34";"GB10-10";2,43223513990845;0,00953603705866245;1,15638160140956;0,00444504616892821;2,10300419470063;0,00595529474010638;0,864785251797158;0,00342593356738475;"2010"
"35";"GB03-10";2,43384404458964;0,00545288372269119;1,15666821377275;0,00294057678745821;2,10386194760199;0,00302495437457336;0,864550447495333;0,0022435824891332;"2010"
"36";"GB07-10";2,43899136292811;0,00570996602390371;1,15904827896295;0,00278604248697508;2,10664001660108;0,00260321446983604;0,862776749928464;0,00210317456680019;"2010"
"37";"GB12-10";2,43907390721175;0,00526688471796363;1,16065291840638;0,0025521478933291;2,10210426050615;0,00237214259566274;0,861578457424956;0,00191423334113975;"2010"
"38";"GB02-10";2,4278607605618;0,00900216504313974;1,15000842839951;0,00283595730184477;2,1086070851147;0,00631478228408418;0,8695618367377;0,00220611515217493;"2010"
"39";"GB14-10";2,44156989043215;0,00492357783009791;1,15801309025801;0,00233055085377391;2,10698292236181;0,00395388809317388;0,863549304716525;0,0017789987970354;"2010"
"40";"GB1-10";2,44277919550784;0,00591703555312375;1,1602840552251;0,00233306577077557;2,10658279412195;0,00415845689513718;0,861858479975456;0,0017735220093197;"2010"
"41";"GB21-10";2,43653066672919;0,00930549286890541;1,1737401114493;0,00383450775601334;2,07851170708568;0,00747632200407254;0,851990881445876;0,00285965594808454;"2010"
"42";"GB24-10";2,45203288275199;0,00605521535115048;1,17151483708378;0,00325153353156057;2,09358834748908;0,00463992678467215;0,853600772363631;0,00243386246441106;"2010"
"43";"GB20-10";2,45551709329035;0,00490452383684197;1,17204404901006;0,00305528499788281;2,0937710989911;0,00483889277988767;0,853215362406055;0,00227698180618643;"2010"
"44";"GB31-10";2,43782541549473;0,00837620237927254;1,18702393688543;0,00270868902702389;2,04928625568825;0,00688361140419831;0,842443483281954;0,00196258363700907;"2010"
"45";"GB17-10";2,40354000025741;0,0129182755232293;1,14776999303694;0,0066503168353338;2,09562682584149;0,0105749579091896;0,871321928363974;0,00522058249744189;"2010"
"46";"GB19-10";2,42711152588231;0,00795609679615935;1,16248099904187;0,0048278059108093;2,08969861249528;0,00721888724936097;0,860262271322758;0,00368757802262924;"2010"
"47";"GB36-10";2,44320482919863;0,00633991194257036;1,16157261950205;0,00395866598333614;2,09836162109735;0,00814445237986266;0,860921208012224;0,00302357490018235;"2010"
"48";"GB30-10";2,43495040790734;0,00557762289563005;1,16241560571349;0,00310943249801664;2,09347466505396;0,00374631097409896;0,860285960570351;0,00236681738133309;"2010"
"49";"GB32-10";2,42209429920396;0,00752870197970803;1,16510960419623;0,00443975349121051;2,08157416678547;0,010414990508635;0,858309798115759;0,00337538337768794;"2010"
"50";"GB25-10";2,42718160302812;0,00532457166138618;1,16811511515229;0,00196025100805928;2,07845321800853;0,00721784675230857;0,85607519890317;0,00145504108682495;"2010"
"51";"GB33-10";2,40676957527238;0,00623440619300717;1,15438172335787;0,00652777039846388;2,09024614393093;0,00997288589916088;0,86655685733732;0,00500945908492723;"2010"
"52";"GB35-10";2,37716102750253;0,0100326553089984;1,15042529094815;0,00790616317107548;2,06817898961101;0,0154981763434384;0,869703173046199;0,00615220949955039;"2010"
